
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1536          0          0          0        460   acs_common_access_proc.obj
      1040          0          0          0        492   acs_common_ctrl_hdlr.obj
      2988          0          0          0        792   acs_dedi_access_proc.obj
      2924          0          0          0        612   acs_pkt_access_proc.obj
       898          0          0          0        648   acs_utils.obj
      1922          0          0          0       2596   csn_common.obj
       142          0          0          0        372   csn_memory.obj
      2972          0          8          0       1216   csn_special.obj
      1696          0          0          0        536   csrr_ded_access.obj
      4826          0          0          0       1608   csrr_ded_proc.obj
      2744          0          0          0        732   csrr_recv_lapdm_mesgs.obj
         0          0          0          0          0   csrr_recv_mac_mesgs.obj
      1050          0          0          0        448   csrr_recv_mm_mesgs.obj
      2544          0          0          0        732   csrr_recv_mpal_mesgs.obj
       528          0          0          0        632   csrr_send_ext_msg.obj
      4046          0          0          0       1900   csrr_send_int_msg.obj
      4566          0          0          0       2316   csrr_utils.obj
      1288          0          0          0       1844   gprs_rlcmac_common_rest.obj
     19704          0          0          0      14264   gprs_rlcmac_dl_rest.obj
     13888          0          0          0      12440   gprs_rlcmac_peer_rest.obj
      8672          0          0          0       6720   gprs_rlcmac_ul_rest.obj
      1750          0          0          0        272   lapdm_frame_funcs.obj
       656        360          0        632        380   lapdm_main.obj
      6940         23          0          0       1344   lapdm_recv_mpal_msgs.obj
      3268          0          0          0       1284   lapdm_recv_rr_msgs.obj
      1028          0          0          0        428   mac_alloc_mode_hdlr.obj
      4474          2          0          0       3064   mac_common_ctrl_hdlr.obj
      6912          0          0          0       1028   mac_data_blk_hdlr.obj
      4154          0          0          0       1268   mac_dl_ctrl_hdlr.obj
      1964        484          0        984       1276   mac_main.obj
      2520          0          0          0        432   mac_pa_ctrl_hdlr.obj
      2750          0          0          0       1896   mac_sendmsgs.obj
      2960         16          0          0       1516   mac_timer_hdlr.obj
      4408         76          0          0       1320   mac_ul_ctrl_hdlr.obj
      7264          0          0          0       1184   mac_ul_dl_ctrl_hdlr.obj
      7020        215          0          0       4332   mac_utils.obj
       872          0          0       2036        204   meas_config.obj
         0          0          0          0          0   meas_funcs.obj
      1584          0          0          0       1832   meascell_rest.obj
      1234          0          0          0       1064   mpal_gprs_common_func.obj
      3052          4          0          0        548   mpal_gprs_dl_func.obj
      1564          0          0          0       1020   mpal_gprs_dl_msg_hdlr.obj
      3192          0          0          0        924   mpal_gprs_ul_func.obj
      1538          0          0          0       1124   mpal_gprs_ul_msg_hdlr.obj
       186          0          0          0        180   mpal_gsm_common_func.obj
       612         20          0          0        748   mpal_gsm_dl_func.obj
      2564          0          0          0       2316   mpal_gsm_dl_msg_hdlr.obj
       124          0          0          0        184   mpal_gsm_timer_hdlr.obj
      1118         33          0          0        980   mpal_gsm_ul_func.obj
      2564          0          0          0       2136   mpal_gsm_ul_msg_hdlr.obj
       848        376          0        835        592   mpal_main.obj
       434          0          0          0        436   nstd_alloc_bitmap_pun.obj
       294          0          0          0        316   nstd_extension_bit_pun.obj
      1876          0          0          0       2184   nstd_mobile_alloc_peer_pun.obj
       670          0          0          0        620   nstd_pkt_meas_report_pun.obj
      1608          0          0          0       1652   nstd_pmo_pun.obj
         0          0          0          0          0   psi.obj
